City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
85,Tromsø,69.65,18.96,37.4,74,75,47.2,NO,1603667534
86,Pevek,69.7,170.31,25.65,98,100,7.72,RU,1603667555
87,Sorong,-0.88,131.25,80.47,80,62,5.75,ID,1603667278
88,Kazachinskoye,57.7,93.28,26.8,85,100,5.99,RU,1603667555
89,Laas,46.62,10.7,54.0,93,90,8.05,IT,1603667555
90,Kangaatsiaq,68.31,-53.46,20.8,87,79,7.67,GL,1603667556
91,San Rafael,-34.62,-68.33,66.47,30,0,10.0,AR,1603667556
92,Hermanus,-34.42,19.23,60.01,89,88,1.01,ZA,1603667556
93,Bauchi,10.5,10.0,75.94,27,61,4.23,NG,1603667556
94,Severo-Kuril'sk,50.68,156.12,44.96,84,91,5.93,RU,1603667556
95,Smoky Lake,54.12,-112.47,25.83,79,83,9.84,CA,1603667556
96,Chui,-33.7,-53.46,66.87,89,100,14.9,UY,1603667556
97,Carnarvon,-24.87,113.63,69.8,88,90,17.22,AU,1603667506
98,Puerto Ayora,-0.74,-90.35,68.0,86,70,5.99,EC,1603667366
99,Port Hardy,50.7,-127.42,42.8,60,75,5.82,CA,1603667557
100,San Pedro de Macorís,18.46,-69.3,86.0,74,40,4.7,DO,1603667557
101,Cururupu,-1.83,-44.87,77.25,86,60,3.62,BR,1603667557
102,Lagoa,39.05,-27.98,63.95,62,63,1.66,PT,1603667298
103,São João da Barra,-21.64,-41.05,72.57,85,100,9.86,BR,1603667557
104,Bethel,41.37,-73.41,48.99,57,90,4.7,US,1603667557
105,São Filipe,14.9,-24.5,82.8,62,96,15.14,CV,1603667431
106,Avarua,-21.21,-159.78,78.8,65,76,14.99,CK,1603667558
107,Kutum,14.2,24.67,69.91,25,20,10.65,SD,1603667558
108,Verkhoyansk,67.54,133.38,4.78,85,0,4.43,RU,1603667558
109,Faanui,-16.48,-151.75,80.74,68,34,7.14,PF,1603667558
110,George Town,5.41,100.34,78.8,88,40,5.68,MY,1603667558
111,Longyearbyen,78.22,15.64,28.4,79,75,9.17,SJ,1603667558
112,Busselton,-33.65,115.33,64.99,56,0,5.48,AU,1603667559
113,Cape Town,-33.93,18.42,63.0,83,4,3.0,ZA,1603667435
114,Arraial do Cabo,-22.97,-42.03,71.6,83,75,10.49,BR,1603667268
115,Cidreira,-30.18,-50.21,69.13,88,14,25.75,BR,1603667559
116,Biltine,14.53,20.92,76.66,18,9,7.49,TD,1603667559
117,Baijiantan,45.63,85.18,36.09,77,0,1.52,CN,1603667559
118,Tiksi,71.69,128.87,4.55,90,100,29.75,RU,1603667270
119,Caravelas,-17.71,-39.25,72.61,97,100,8.48,BR,1603667560
120,Antofagasta,-23.65,-70.4,60.8,67,75,14.99,CL,1603667560
121,Sobolevo,54.43,31.9,42.85,93,57,4.52,RU,1603667287
122,Cuilapa,14.28,-90.3,71.6,73,75,16.11,GT,1603667560
123,Mahon,39.89,4.27,66.2,77,40,14.99,ES,1603667560
124,Sa Kaeo,13.75,102.33,68.18,84,77,0.98,TH,1603667560
125,Thompson,55.74,-97.86,26.6,49,75,9.17,CA,1603667560
126,Chumphon,10.33,98.83,71.22,99,89,0.6,TH,1603667561
127,Bay Roberts,47.6,-53.26,43.0,90,51,8.01,CA,1603667561
128,Norman Wells,65.28,-126.83,23.0,92,75,4.7,CA,1603667274
129,Mar del Plata,-38.0,-57.56,62.6,100,90,5.82,AR,1603667371
130,Uryupinsk,50.8,42.01,44.01,94,0,5.21,RU,1603667561
131,Verāval,20.9,70.37,80.85,64,0,10.42,IN,1603667562
132,Yerbogachën,61.28,108.01,23.43,95,100,4.0,RU,1603667333
133,Qaanaaq,77.48,-69.36,11.17,79,100,10.07,GL,1603667562
134,Saint-Philippe,-21.36,55.77,71.6,72,0,8.05,RE,1603667562
135,Guerrero Negro,27.98,-114.06,71.08,65,47,17.34,MX,1603667562
136,Mareeba,-17.0,145.43,86.0,61,35,5.82,AU,1603667285
137,Ukiah,39.15,-123.21,73.99,35,1,3.36,US,1603667563
138,Raudeberg,61.99,5.14,48.0,81,49,22.32,NO,1603667563
139,Fuerte Olimpo,-21.04,-57.87,87.53,49,44,4.97,PY,1603667559
140,Kaduy,59.2,37.15,32.0,98,90,2.24,RU,1603667563
141,Poum,-20.23,164.02,77.23,75,12,15.21,NC,1603667563
142,Dzaoudzi,-12.79,45.27,77.0,83,0,6.93,YT,1603667563
143,Belyy Yar,53.6,91.39,26.6,73,0,4.47,RU,1603667564
144,Mayo,38.89,-76.51,52.0,87,90,6.93,US,1603667564
145,Toledo,39.83,-4.0,55.99,72,100,23.04,ES,1603667349
146,Dongying,37.46,118.49,56.35,38,48,1.14,CN,1603667564
147,Iskateley,67.68,53.15,15.06,96,8,9.62,RU,1603667564
148,Ružomberok,49.07,19.31,53.6,93,90,1.12,SK,1603667565
149,Hualmay,-11.1,-77.61,64.06,80,53,10.04,PE,1603667565
150,Ostrovnoy,68.05,39.51,31.73,93,100,6.96,RU,1603667565
151,Dublin,37.7,-121.94,71.6,48,1,11.41,US,1603667493
152,Vikindu,-7.01,39.3,74.05,90,15,4.32,TZ,1603667565
153,Parrita,9.52,-84.32,71.6,83,75,9.17,CR,1603667565
154,Nishihara,26.18,127.76,73.4,77,40,4.7,JP,1603667566
155,Klaksvík,62.23,-6.59,44.6,81,26,9.17,FO,1603667566
156,Avera,33.19,-82.53,75.2,88,75,9.46,US,1603667566
157,Olafsvik,64.89,-23.71,41.95,81,100,23.4,IS,1603667278
158,Saint Paul Harbor,57.79,-152.41,48.2,87,90,16.11,US,1603667566
159,Shaunavon,49.65,-108.42,9.36,92,2,11.07,CA,1603667276
160,Bathsheba,13.22,-59.52,82.4,74,20,13.87,BB,1603667566
161,Santa Isabel Rio Negro,-0.41,-65.02,74.79,96,100,2.73,BR,1603667567
162,Upata,8.01,-62.4,78.01,85,100,1.01,VE,1603667567
163,Suffolk,40.87,-72.8,53.6,66,90,3.36,US,1603667567
164,Visby,57.64,18.3,55.99,82,100,14.99,SE,1603667567
165,Carutapera,-1.2,-46.02,79.84,78,100,7.14,BR,1603667567
166,Narsaq,60.92,-46.05,42.8,41,100,28.86,GL,1603667567
167,Clyde River,70.47,-68.59,12.2,85,75,5.82,CA,1603667568
168,Nālūt,30.33,10.85,63.84,59,54,9.22,LY,1603667568
169,Nogales,31.31,-110.94,80.6,22,1,14.99,MX,1603667568
170,Nemuro,43.32,145.57,49.82,73,0,19.93,JP,1603667568
171,Oyama,36.3,139.8,60.01,87,75,2.24,JP,1603667568
172,Provideniya,64.38,-173.3,35.6,74,90,4.47,RU,1603667568
173,Tuatapere,-46.13,167.68,53.01,63,92,5.99,NZ,1603667514
174,Tuktoyaktuk,69.45,-133.04,21.2,85,90,19.46,CA,1603667569
175,Lapeer,43.05,-83.32,46.4,49,90,3.36,US,1603667569
176,Hithadhoo,-0.6,73.08,83.39,68,55,6.31,MV,1603667436
177,South Venice,27.05,-82.42,82.4,83,75,4.7,US,1603667569
178,Bojnourd,37.47,57.33,42.8,45,0,4.7,IR,1603667569
179,Connersville,39.64,-85.14,52.0,62,100,7.47,US,1603667569
180,Mapiripán,2.89,-72.13,78.39,89,95,4.03,CO,1603667569
181,Zhangaözen,43.3,52.8,53.92,99,49,5.48,KZ,1603667570
182,Gamovo,57.87,56.11,32.0,98,75,4.47,RU,1603667570
183,Honningsvåg,70.98,25.97,33.8,69,40,17.22,NO,1603667278
184,Djibouti,11.5,42.5,82.4,69,1,17.98,DJ,1603667570
185,Samarai,-10.62,150.67,82.45,78,41,8.08,PG,1603667570
186,Codrington,-38.27,141.97,54.07,67,1,18.28,AU,1603667570
187,Vanimo,-2.67,141.3,80.64,82,100,2.3,PG,1603667570
188,Pochutla,15.74,-96.47,86.0,70,40,5.12,MX,1603667570
189,Honiara,-9.43,159.95,84.2,79,75,3.36,SB,1603667571
190,Lermontovka,47.15,134.34,38.41,81,0,2.17,RU,1603667571
191,Lüderitz,-26.65,15.16,65.28,54,75,22.7,NA,1603667571
192,Boguchany,58.38,97.45,23.68,92,61,3.76,RU,1603667571
193,Garden City,42.33,-83.33,48.2,64,90,9.17,US,1603667469
194,Peniche,39.36,-9.38,59.0,80,83,5.01,PT,1603667571
195,Atambua,-9.11,124.89,79.74,75,98,2.55,ID,1603667572
196,Reconquista,-29.15,-59.65,69.48,93,56,14.63,AR,1603667572
197,Lompoc,34.64,-120.46,66.2,63,90,10.29,US,1603667358
198,Emba,48.83,58.14,55.72,73,100,20.0,KZ,1603667572
199,Henderson,36.04,-114.98,78.8,20,1,21.92,US,1603667316
200,Muros,42.78,-9.06,48.0,93,99,1.99,ES,1603667572
201,Airai,-8.93,125.41,67.77,84,98,1.57,TL,1603667573
202,Boralday,43.36,76.86,32.0,59,14,2.77,KZ,1603667573
203,Tāybād,34.74,60.78,42.89,59,0,1.01,IR,1603667573
204,Beyneu,45.32,55.2,56.34,88,73,13.69,KZ,1603667573
205,Saskylakh,71.92,114.08,7.61,93,100,10.33,RU,1603667573
206,Kantunilkín,21.09,-87.45,86.0,70,75,13.87,MX,1603667573
207,Hastings,50.86,0.57,50.0,88,68,1.99,GB,1603667560
208,Vila Franca do Campo,37.72,-25.43,59.0,82,20,5.82,PT,1603667573
209,Torbay,47.67,-52.73,41.0,80,75,21.92,CA,1603667574
210,Bredasdorp,-34.53,20.04,60.8,93,100,9.17,ZA,1603667507
211,Moree,-29.47,149.85,64.4,68,40,5.97,AU,1603667379
212,Thunder Bay,48.4,-89.32,32.0,90,90,3.36,CA,1603667350
213,Nome,64.5,-165.41,39.2,80,90,6.93,US,1603667288
214,Nhulunbuy,-12.23,136.77,82.4,78,75,5.82,AU,1603667574
215,Haines Junction,60.75,-137.51,29.84,90,100,3.11,CA,1603667574
216,Saldanha,-33.01,17.94,57.2,82,19,6.93,ZA,1603667575
217,Yar-Sale,66.83,70.83,11.43,96,69,10.16,RU,1603667575
218,Ahipara,-35.17,173.17,68.9,64,3,6.2,NZ,1603667292
219,Bengkulu,-3.8,102.27,74.93,87,100,4.99,ID,1603667575
220,San Andrés,12.58,-81.7,84.2,83,75,4.7,CO,1603667416
221,Silver City,32.77,-108.28,71.6,18,1,21.92,US,1603667575
222,Heyang,26.1,107.47,60.39,91,99,3.29,CN,1603667575
223,Jamestown,42.1,-79.24,45.0,68,90,12.75,US,1603667576
224,Chokurdakh,70.63,147.92,5.65,92,3,9.86,RU,1603667576
225,Goderich,43.75,-81.72,44.01,64,93,13.44,CA,1603667502
226,Chapais,49.78,-74.85,26.6,79,90,3.36,CA,1603667576
227,Ostrov,57.34,28.35,42.8,93,20,2.24,RU,1603667576
228,Geraldton,-28.77,114.6,60.8,87,0,4.7,AU,1603667576
229,Isangel,-19.55,169.27,80.6,74,75,5.82,VU,1603667576
230,Jalu,29.03,21.55,63.88,79,0,7.05,LY,1603667281
231,Chara,56.91,118.26,28.35,89,100,0.54,RU,1603667577
232,Benguela,-12.58,13.41,74.5,80,86,5.57,AO,1603667577
233,Esperance,-33.87,121.9,55.4,66,0,19.46,AU,1603667577
234,Bulungu,-4.55,18.6,71.65,97,99,1.88,CD,1603667577
235,Kyenjojo,0.63,30.62,62.42,98,100,1.66,UG,1603667577
236,The Valley,18.22,-63.06,82.99,74,20,12.75,AI,1603667278
237,Labuhan,-6.88,112.21,79.38,83,97,8.66,ID,1603667578
238,Vol'sk,52.03,47.38,41.09,80,9,9.86,RU,1603667578
239,Ubari,26.59,12.78,67.24,35,0,6.78,LY,1603667578
240,Darhan,49.49,105.92,23.5,89,88,2.04,MN,1603667578
241,Nador,35.17,-2.93,64.4,72,0,5.82,MA,1603667578
242,Béziers,43.35,3.22,57.2,93,90,2.24,FR,1603667578
243,Ancud,-41.87,-73.82,52.0,76,90,10.29,CL,1603667287
244,Río Gallegos,-51.62,-69.22,55.4,58,40,9.17,AR,1603667579
245,Myitkyina,25.38,97.4,68.81,94,42,1.72,MM,1603667285
246,Alyangula,-13.85,136.42,73.4,100,90,1.12,AU,1603667579
247,San Patricio,28.02,-97.52,82.4,69,75,20.8,US,1603667579
248,Portland,45.52,-122.68,48.0,26,20,18.34,US,1603667331
249,Yulara,-25.24,130.99,62.6,30,28,19.46,AU,1603667419
250,Toora-Khem,52.47,96.11,17.64,82,81,3.09,RU,1603667580
251,Lorengau,-2.02,147.27,84.4,73,100,5.23,PG,1603667580
252,Morant Bay,17.88,-76.41,80.6,88,75,20.8,JM,1603667580
253,Pangnirtung,66.15,-65.71,12.63,84,24,4.85,CA,1603667580
254,Patacamaya,-17.23,-67.92,51.28,59,94,20.36,BO,1603667580
255,Kahului,20.89,-156.47,93.2,49,40,14.99,US,1603667581
256,Los Llanos de Aridane,28.66,-17.92,69.8,64,62,10.29,ES,1603667284
257,Buraidah,26.33,43.98,64.4,25,0,6.87,SA,1603667581
258,Ribeira Grande,38.52,-28.7,64.92,70,72,3.53,PT,1603667581
259,Fairbanks,64.84,-147.72,34.0,79,1,3.44,US,1603667582
260,Deogarh,21.53,84.73,68.38,60,63,2.19,IN,1603667582
261,Manokwari,-0.87,134.08,81.66,72,99,1.77,ID,1603667582
262,Walvis Bay,-22.96,14.51,57.99,87,0,8.05,NA,1603667582
263,Cayenne,4.93,-52.33,82.4,78,0,3.36,GF,1603667335
264,Ola,59.58,151.28,36.93,77,100,12.53,RU,1603667582
265,Chebarkul',54.97,60.36,39.63,97,100,6.78,RU,1603667582
266,Kiama,-34.68,150.87,59.0,82,75,10.29,AU,1603667582
